[15-Nov-2017 18:12:04 Europe/Berlin] PHP Warning:  session_destroy(): Session object destruction failed in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 73
[15-Nov-2017 18:12:04 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 72
[15-Nov-2017 18:12:04 Europe/Berlin] PHP Warning:  session_destroy(): Session object destruction failed in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 73
[15-Nov-2017 18:12:04 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 72
[15-Nov-2017 18:12:04 Europe/Berlin] PHP Warning:  session_destroy(): Session object destruction failed in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 73
[15-Nov-2017 18:12:04 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 72
[15-Nov-2017 18:12:04 Europe/Berlin] PHP Warning:  session_destroy(): Session object destruction failed in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 73
[15-Nov-2017 18:12:04 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 72
[15-Nov-2017 18:12:04 Europe/Berlin] PHP Warning:  session_destroy(): Session object destruction failed in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 73
[15-Nov-2017 18:12:04 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 72
[15-Nov-2017 18:12:04 Europe/Berlin] PHP Warning:  session_destroy(): Session object destruction failed in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 73
[15-Nov-2017 18:12:04 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 72
[15-Nov-2017 18:12:04 Europe/Berlin] PHP Warning:  session_destroy(): Session object destruction failed in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 73
[15-Nov-2017 18:12:04 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 72
[15-Nov-2017 18:12:04 Europe/Berlin] PHP Warning:  session_destroy(): Session object destruction failed in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 73
[15-Nov-2017 18:12:04 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 72
[15-Nov-2017 18:12:04 Europe/Berlin] PHP Warning:  session_destroy(): Session object destruction failed in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 73
[15-Nov-2017 18:12:04 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 72
[15-Nov-2017 18:12:04 Europe/Berlin] PHP Warning:  session_destroy(): Session object destruction failed in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 73
[15-Nov-2017 18:12:04 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 72
[15-Nov-2017 18:12:04 Europe/Berlin] PHP Warning:  session_destroy(): Session object destruction failed in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 73
[15-Nov-2017 18:12:04 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 72
[15-Nov-2017 18:12:04 Europe/Berlin] PHP Warning:  session_destroy(): Session object destruction failed in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 73
[15-Nov-2017 18:12:04 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 72
[15-Nov-2017 18:12:04 Europe/Berlin] PHP Warning:  session_destroy(): Session object destruction failed in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 73
[15-Nov-2017 18:12:04 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 72
[15-Nov-2017 18:12:04 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 72
[15-Nov-2017 18:12:04 Europe/Berlin] PHP Warning:  session_destroy(): Session object destruction failed in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 73
[15-Nov-2017 18:12:04 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 72
[15-Nov-2017 18:12:04 Europe/Berlin] PHP Warning:  session_destroy(): Session object destruction failed in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 73
[15-Nov-2017 18:12:04 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 72
[15-Nov-2017 18:12:04 Europe/Berlin] PHP Warning:  session_destroy(): Session object destruction failed in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 73
[15-Nov-2017 18:12:04 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 72
[15-Nov-2017 18:12:04 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 72
[15-Nov-2017 18:12:04 Europe/Berlin] PHP Warning:  session_destroy(): Session object destruction failed in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 73
[15-Nov-2017 18:12:04 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 72
[15-Nov-2017 18:12:04 Europe/Berlin] PHP Warning:  session_destroy(): Session object destruction failed in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 73
[15-Nov-2017 18:12:04 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 72
[15-Nov-2017 18:13:10 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 25
[15-Nov-2017 18:13:18 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 72
[15-Nov-2017 18:13:18 Europe/Berlin] PHP Warning:  session_destroy(): Session object destruction failed in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 73
[15-Nov-2017 18:13:18 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 72
[15-Nov-2017 18:13:46 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 25
[15-Nov-2017 18:15:04 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 72
[15-Nov-2017 18:15:04 Europe/Berlin] PHP Warning:  session_destroy(): Session object destruction failed in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 73
[15-Nov-2017 18:15:04 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 72
[15-Nov-2017 18:15:04 Europe/Berlin] PHP Warning:  session_destroy(): Session object destruction failed in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 73
[15-Nov-2017 18:15:04 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 72
[15-Nov-2017 18:15:04 Europe/Berlin] PHP Warning:  session_destroy(): Session object destruction failed in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 73
[15-Nov-2017 18:15:04 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 72
[15-Nov-2017 18:15:04 Europe/Berlin] PHP Warning:  session_destroy(): Session object destruction failed in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 73
[15-Nov-2017 18:15:04 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 72
[15-Nov-2017 18:15:17 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 25
[15-Nov-2017 18:16:51 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 25
[15-Nov-2017 18:16:54 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 72
[15-Nov-2017 18:16:54 Europe/Berlin] PHP Warning:  session_destroy(): Session object destruction failed in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 73
[15-Nov-2017 18:16:54 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 72
[15-Nov-2017 18:17:02 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 25
[15-Nov-2017 18:17:32 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 72
[15-Nov-2017 18:17:32 Europe/Berlin] PHP Warning:  session_destroy(): Session object destruction failed in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 73
[15-Nov-2017 18:17:32 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 72
[15-Nov-2017 18:17:32 Europe/Berlin] PHP Warning:  session_destroy(): Session object destruction failed in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 73
[15-Nov-2017 18:17:32 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 72
[15-Nov-2017 18:17:32 Europe/Berlin] PHP Warning:  session_destroy(): Session object destruction failed in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 73
[15-Nov-2017 18:17:32 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 72
[15-Nov-2017 18:17:32 Europe/Berlin] PHP Warning:  session_destroy(): Session object destruction failed in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 73
[15-Nov-2017 18:17:32 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 72
[15-Nov-2017 18:17:41 Europe/Berlin] PHP Notice:  A session had already been started - ignoring session_start() in C:\xampp\htdocs\giannerWeb\controller\LoginController.php on line 25
